x1	x2	x3	x4	x5	x6	x7
0.0	0.0	0.0	0.0	-1.4743489752019094	-1.6343252423625962	0.0
0.0	0.0	0.0	0.0	0.0	-2.8224833414976525	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-2.827384034825766	-0.20798568058332556	0.0
-3.576513049177419	0.0	0.0	0.0	0.0	0.0	-1.0484852321628724
0.0	0.0	-0.1508277743745534	0.0	-1.186333146043261	-2.6861812115198647	0.0
-1.4358755293691705	0.0	0.0	-0.5508018762842672	0.0	-4.011543364321511	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
-3.7661190754500797	-3.0693943005275814	-4.280131007478077	-2.081283766527011	-4.636069072046599	0.0	-3.960292317008482
